NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
1,1g,317mb,10m,58k,64,200k,16.743,3728.322
1,1g,317mb,10m,58k,64,9m,16.364,3889.247
1,1g,317mb,10m,58k,88,200k,22.312,3895.231
1,1g,317mb,10m,58k,88,9m,22.511,3891.819
1,1g,317mb,10m,95k,14,200k,5.469,2534.502
1,1g,317mb,10m,95k,14,9m,5.608,2469.851
1,1g,317mb,10m,95k,39,200k,14.925,2538.153
1,1g,317mb,10m,95k,39,9m,15.111,2473.348
1,1g,317mb,10m,95k,64,200k,23.060,2544.244
1,1g,317mb,10m,95k,64,9m,22.591,2539.347
1,1g,317mb,10m,95k,88,200k,29.680,2536.440
1,1g,317mb,10m,95k,88,9m,29.731,2538.094
1,1g,317mb,10m,132k,14,200k,7.285,1846.560
1,1g,317mb,10m,132k,14,9m,7.438,1843.575
1,1g,317mb,10m,132k,39,200k,20.162,1839.748
1,1g,317mb,10m,132k,39,9m,20.321,1837.745
1,1g,317mb,10m,132k,64,200k,32.300,1836.310
1,1g,317mb,10m,132k,64,9m,31.631,1843.410
1,1g,317mb,10m,132k,88,200k,40.937,1846.906
1,1g,317mb,10m,132k,88,9m,42.402,1833.678
1,1g,317mb,1g,20k,14,200k,2.192,6378.420
1,1g,317mb,1g,20k,14,9m,2.057,6798.859
1,1g,317mb,1g,20k,39,200k,5.995,6502.258
1,1g,317mb,1g,20k,39,9m,5.897,6463.382
1,1g,317mb,1g,20k,64,200k,10.038,6373.531
1,1g,317mb,1g,20k,64,9m,9.768,6523.430
1,1g,317mb,1g,20k,88,200k,13.430,6375.875
1,1g,317mb,1g,20k,88,9m,13.481,6358.730
1,1g,317mb,1g,58k,14,200k,5.669,2418.758
1,1g,317mb,1g,58k,14,9m,5.833,2381.957
1,1g,317mb,1g,58k,39,200k,15.569,2426.129
1,1g,317mb,1g,58k,39,9m,15.807,2420.588
1,1g,317mb,1g,58k,64,200k,24.058,2402.227
1,1g,317mb,1g,58k,64,9m,24.820,2408.566
1,1g,317mb,1g,58k,88,200k,31.909,2437.213
1,1g,317mb,1g,58k,88,9m,33.932,2413.230
1,1g,317mb,1g,95k,14,200k,8.752,1550.599
1,1g,317mb,1g,95k,14,9m,8.767,1561.598
1,1g,317mb,1g,95k,39,200k,22.958,1563.503
1,1g,317mb,1g,95k,39,9m,22.629,1582.315
1,1g,317mb,1g,95k,64,200k,37.961,1504.102
1,1g,317mb,1g,95k,64,9m,37.055,1587.277
1,1g,317mb,1g,95k,88,200k,46.685,1566.741
1,1g,317mb,1g,95k,88,9m,49.193,1563.240
1,1g,317mb,1g,132k,14,200k,12.244,1121.822
1,1g,317mb,1g,132k,14,9m,11.836,1165.177
1,1g,317mb,1g,132k,39,200k,31.263,1159.589
1,1g,317mb,1g,132k,39,9m,30.268,1141.325
1,1g,317mb,1g,132k,64,200k,47.648,1145.425
1,1g,317mb,1g,132k,64,9m,49.892,1139.691
1,1g,317mb,1g,132k,88,200k,60.336,1134.441
1,1g,317mb,1g,132k,88,9m,68.596,1099.328
1,1g,439mb,10m,20k,14,200k,1.526,9168.388
1,1g,439mb,10m,20k,14,9m,1.437,9729.588
1,1g,439mb,10m,20k,39,200k,3.923,9935.586
1,1g,439mb,10m,20k,39,9m,4.019,9690.128
1,1g,439mb,10m,20k,64,200k,6.412,9976.007
1,1g,439mb,10m,20k,64,9m,6.724,9494.943
1,1g,439mb,10m,20k,88,200k,8.837,9952.817
1,1g,439mb,10m,20k,88,9m,8.866,9892.154
1,1g,439mb,10m,58k,14,200k,3.672,3806.732
1,1g,439mb,10m,58k,14,9m,3.580,3890.992
1,1g,439mb,10m,58k,39,200k,9.944,3900.283
1,1g,439mb,10m,58k,39,9m,10.269,3794.117
1,1g,439mb,10m,58k,64,200k,16.643,3809.724
1,1g,439mb,10m,58k,64,9m,16.399,3887.891
1,1g,439mb,10m,58k,88,200k,22.591,3887.285
1,1g,439mb,10m,58k,88,9m,23.107,3788.902
1,1g,439mb,10m,95k,14,200k,5.591,2470.212
1,1g,439mb,10m,95k,14,9m,5.306,2542.527
1,1g,439mb,10m,95k,39,200k,14.492,2537.049
